course,lecturer,group,students,capacity,room
CS101,Dr. Smith,CS-A,46,51,Lab1
CS101,Dr. Smith,CS-B,44,49,Lab2
CS102,Prof. Johnson,CS-A,48,53,Lab3
CS102,Prof. Johnson,CS-B,45,50,Lab4
CS103,Dr. Smith,CS-A,43,48,Lab5
CS103,Dr. Smith,CS-B,41,46,Lab6
CS104,Prof. Johnson,CS-A,39,44,Lab7
CS104,Prof. Johnson,CS-B,37,42,Lab8
MATH201,Dr. Williams,MATH-A,36,41,Lab9
MATH201,Dr. Williams,MATH-B,34,39,Lab10
MATH202,Prof. Brown,MATH-A,32,37,Hall1
MATH202,Prof. Brown,MATH-B,30,35,Hall2
MATH203,Dr. Williams,MATH-A,38,43,Hall3
MATH203,Dr. Williams,MATH-B,36,41,Hall4
MATH204,Prof. Brown,MATH-A,33,38,Hall5
MATH204,Prof. Brown,MATH-B,31,36,Hall6
ENG301,Mrs. Davis,ENG-A,50,55,Room101
ENG301,Mrs. Davis,ENG-B,47,52,Room102
ENG302,Mrs. Davis,ENG-A,44,49,Room103
ENG302,Mrs. Davis,ENG-B,42,47,Room104
ENG303,Mr. Wilson,ENG-A,38,43,Room105
ENG303,Mr. Wilson,ENG-B,36,41,Room106
PHYS401,Dr. Anderson,PHYS-A,30,35,Room107
PHYS401,Dr. Anderson,PHYS-B,28,33,Room108
PHYS402,Dr. Anderson,PHYS-A,34,39,Studio1
PHYS402,Dr. Anderson,PHYS-B,32,37,Studio2
PHYS403,Dr. Anderson,PHYS-A,29,34,Lab1
PHYS403,Dr. Anderson,PHYS-B,27,32,Lab2
BIO501,Prof. Thomas,BIO-A,28,33,Lab3
BIO501,Prof. Thomas,BIO-B,26,31,Lab4
BIO502,Prof. Thomas,BIO-A,25,30,Lab5
BIO502,Prof. Thomas,BIO-B,23,28,Lab6
BIO503,Prof. Thomas,BIO-A,24,29,Lab7
BIO503,Prof. Thomas,BIO-B,22,27,Lab8
CHEM601,Dr. Moore,CHEM-A,38,43,Lab9
CHEM601,Dr. Moore,CHEM-B,36,41,Lab10
CHEM602,Dr. Moore,CHEM-A,35,40,Hall1
CHEM602,Dr. Moore,CHEM-B,33,38,Hall2
ECON701,Dr. Patel,ECON-A,48,53,Hall3
ECON701,Dr. Patel,ECON-B,45,50,Hall4
ECON702,Dr. Patel,ECON-A,42,47,Hall5
ECON702,Dr. Patel,ECON-B,40,45,Hall6
PSY801,Prof. Garcia,PSY-A,35,40,Room101
PSY801,Prof. Garcia,PSY-B,33,38,Room102
SOC801,Prof. Garcia,SOC-A,38,43,Room103
SOC801,Prof. Garcia,SOC-B,36,41,Room104
HIST901,Dr. Chen,HIST-A,32,37,Room105
HIST901,Dr. Chen,HIST-B,30,35,Room106
ART902,Mr. Wilson,ART-A,28,33,Room107
ART902,Mr. Wilson,ART-B,26,31,Room108
BUS701,Ms. Lee,BUS-A,52,57,Studio1
BUS701,Ms. Lee,BUS-B,50,55,Studio2
TECH801,Dr. Martinez,TECH-A,44,49,Lab1
TECH801,Dr. Martinez,TECH-B,42,47,Lab2
DATA901,Dr. Patel,DATA-A,40,45,Lab3
DATA901,Dr. Patel,DATA-B,38,43,Lab4
LAW701,Prof. Brown,LAW-A,30,35,Lab5
LAW701,Prof. Brown,LAW-B,28,33,Lab6
CS101,Dr. Smith,CS-C,40,50,Room105
MATH201,Dr. Williams,MATH-C,33,40,Room106
ENG301,Mrs. Davis,ENG-C,46,60,Hall5
PHYS401,Dr. Anderson,PHYS-C,29,35,Lab9
BIO501,Prof. Thomas,BIO-C,24,30,Lab10
CHEM601,Dr. Moore,CHEM-C,36,40,Room107
ECON701,Dr. Patel,ECON-C,43,60,Hall6
HIST901,Dr. Chen,HIST-B,28,40,Room108
